community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.33.p	M_acald_e	0.0425531914893617	0.12	1	0.005106382978723404
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.33.p	M_ala__D_e	0.0425531914893617	0.23	1	0.009787234042553192
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.33.p	M_alaala_e	0.0425531914893617	0.02	1	0.000851063829787234
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.33.p	M_phe__L_e	0.0425531914893617	1.0	1	0.0425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.19.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.19.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.19.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.40.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.40.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.40.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.40.s	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.40.s	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.30.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.30.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.30.p	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.30.p	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.41.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.41.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.41.p	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.32.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.32.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.17.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.17.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.17.p	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.17.p	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.31.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.31.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.31.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.31.s	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.16.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.16.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.16.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.47.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.47.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.47.s	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.47.s	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.25.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.25.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.25.p	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.25.p	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.25.p	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.20.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.20.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.20.p	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.9.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.9.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.9.p	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.8.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.8.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.8.p	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
